hours,kidslt6,kidsge6,age,educ,exper,nwifeinc
1610,1,0,32,12,14,10.91005993
1656,0,2,30,12,5,19.49998093
1980,1,3,35,12,15,12.03991032
456,0,3,34,12,6,6.799995899
1568,1,2,31,14,7,20.1000576
2032,0,0,54,12,33,9.859053612
1440,0,2,37,16,11,9.152048111
1020,0,0,54,12,35,10.90003777
1458,0,2,48,12,24,17.30500031
1600,0,2,39,12,21,12.92500019
1969,0,1,33,12,15,24.29995346
1960,0,1,42,11,14,19.70007133
240,1,2,30,12,0,15.00000763
997,0,2,43,12,14,14.60000038
1848,0,1,43,10,6,24.63091469
1224,0,3,35,11,9,17.53102684
1400,0,2,43,12,20,14.09998035
640,0,5,39,12,6,15.83899975
2000,0,0,45,12,23,14.10000038
1324,0,4,35,12,9,10.29996109
2215,0,2,42,16,5,22.65498161
1680,0,0,30,12,11,8.090047836
1600,0,0,48,13,18,17.47900009
800,0,0,45,12,15,9.56000042
1955,1,1,31,12,4,8.274952888
660,0,2,43,17,21,27.34998512
525,0,0,59,12,31,16
1904,0,3,32,12,9,16.99998283
1516,1,0,31,17,7,15.10005569
346,0,0,42,12,7,15.6999836
1040,0,0,50,11,32,5.118959904
732,0,0,59,16,11,16.75001144
1880,0,2,36,13,16,13.59993172
1680,0,1,51,12,14,17.10004807
2081,0,3,45,16,27,16.73404884
690,0,1,42,11,0,14.19697762
4210,0,0,46,12,17,10.3199873
2205,0,1,46,10,28,11.38410473
1952,0,0,51,14,24,14.59407806
1302,0,0,30,17,11,17.50043869
112,1,2,30,12,1,15.50999641
893,0,0,57,12,14,21.9999752
583,1,2,31,16,6,22.5
480,0,2,48,12,10,19.99399948
1900,0,3,30,12,6,14.13000011
576,0,2,34,12,4,5.000012875
2056,0,2,48,16,10,21.15489769
1984,0,0,45,12,22,7.141945839
2640,0,0,51,12,16,16.6500721
240,0,2,30,12,6,6.35199976
1173,0,1,46,12,12,27.31394768
3640,0,0,58,12,32,14.50000381
340,0,8,37,12,15,16.25798988
500,0,0,52,8,17,9.5
1599,0,0,52,10,34,7.999956131
1830,0,0,31,16,9,12.50002861
1920,0,0,55,14,37,14.00003242
2052,0,0,34,17,10,20.80007362
2312,0,0,55,14,35,19.38511276
196,0,2,39,12,6,12.3869915
2500,0,3,40,14,19,28.5
1980,0,4,43,12,10,15.04990864
1840,0,0,48,8,11,10.49998379
320,0,0,47,12,15,11.81000042
419,0,4,41,12,12,6.950073242
1880,0,0,36,8,12,12.41997147
72,0,2,46,17,14,17.40000343
120,0,0,34,12,11,15.49999619
1885,0,3,41,12,9,21.21704292
240,0,1,51,12,24,18
1729,0,0,33,12,12,11.89991856
1850,0,0,52,12,13,26.75195503
2033,0,0,58,9,29,12.14996147
608,2,4,34,10,11,10.19999027
1153,0,1,31,12,13,8.120015144
2208,0,1,48,12,19,10.65996456
252,0,2,32,12,2,18.10000992
337,0,0,49,17,24,8.599986076
90,2,2,32,15,9,13.66499996
1174,0,0,58,12,6,32.34996033
372,0,0,50,6,22,12.08500576
30,0,0,60,14,30,12.14999962
1800,0,1,50,12,10,17.69502068
282,0,0,56,14,6,24.70000076
720,0,0,51,9,29,2.133991957
1440,0,1,54,17,29,20.95004845
2100,0,0,59,13,36,10.50008011
1000,0,2,46,9,19,10.55000019
952,0,1,46,15,8,45.75
1413,1,3,39,12,13,13.63204002
2100,0,2,44,12,16,18.23893929
120,2,0,33,12,11,17.08999634
3000,1,2,33,12,15,30.23489952
1000,0,2,48,12,6,28.70000076
336,0,4,31,12,13,19.62999535
1216,0,1,45,12,22,12.82494259
988,0,1,45,12,24,23.79999924
2581,0,2,32,13,2,26.30002594
2030,0,0,47,12,6,20.6999073
413,0,2,34,13,2,26.00000381
782,0,1,37,12,2,10.87702084
1388,0,1,36,12,14,25.61206245
1450,1,2,47,12,9,20.9889946
1720,0,1,48,16,11,70.74993134
800,0,2,42,12,9,17.04999924
360,0,3,33,13,6,20.99999619
2000,0,0,46,11,19,8.119999886
1176,0,3,47,12,26,20.88599014
2058,0,1,44,12,19,17.66891861
900,0,4,36,12,3,25.20002937
215,2,0,31,17,7,14.24500561
2000,0,0,55,14,28,14.30000019
757,0,1,45,16,13,23.7000103
1264,0,0,47,17,9,45.99999619
2064,0,3,46,12,15,42.99990463
1280,0,0,49,11,20,14.7489996
1715,0,0,49,12,29,16.15005493
2000,0,2,45,12,9,17.77400017
12,1,3,38,17,1,91
1528,0,0,47,10,8,22.29993439
561,0,3,54,13,19,34.60001373
2058,0,0,41,11,23,9.620001793
1823,0,2,43,12,3,10.89994621
1680,1,1,31,16,13,14.49994373
1440,0,0,47,17,8,22.00001526
4950,0,2,35,12,17,17.90007973
1176,0,3,45,16,4,23.67506218
1100,1,0,33,12,15,11.79996014
1516,0,1,54,16,11,16.14195442
900,0,4,35,8,7,18.39997101
1080,1,2,31,12,0,15.49994755
480,0,0,55,12,0,17.3239994
288,0,2,34,12,10,19.20500374
1875,0,1,38,13,8,21.30006218
630,0,1,45,11,2,23.55999565
234,0,1,47,12,4,20.85000038
1600,0,2,39,12,6,26.14999962
960,1,0,36,14,18,17
120,1,2,33,12,3,20.72000313
2025,0,0,50,12,22,17.00008965
1809,0,0,58,12,33,15.99999809
3087,0,0,49,17,28,19.50004959
910,0,2,41,14,23,12.00000381
1840,0,1,51,12,27,13.73191166
784,0,0,53,9,11,27.19999123
400,1,2,36,12,6,5.315000057
1000,0,2,46,12,11,16
1904,0,2,36,12,14,27.87198257
1771,0,1,53,14,17,40.00001144
1486,0,3,40,16,17,15.90003395
740,0,2,42,17,14,27.49996948
1820,1,1,33,15,11,17.02005005
1275,0,3,43,12,7,22.39493942
450,1,0,31,16,8,11.10000038
1221,0,0,47,17,6,32.70001221
1550,0,0,54,17,8,27.79996109
180,1,3,33,12,4,2.199994087
2090,0,0,43,16,25,19.72095108
1960,0,1,46,13,24,9.999987602
1440,0,3,35,12,11,13.19996834
794,0,3,37,11,19,12.70897484
993,0,2,37,16,9,27.30004692
160,0,3,34,14,19,21.20000076
105,1,0,43,16,14,14.40000439
1200,0,0,46,12,22,20.57596016
450,0,3,35,9,6,12.49999046
996,0,0,46,17,23,17.50021553
1052,0,0,46,14,15,44.00003815
1128,0,2,43,12,6,13.11895466
1840,0,0,30,12,11,14.00005627
1910,0,2,41,11,2,9.645086288
980,0,1,54,12,22,17.39704514
2317,0,1,31,12,10,7.799888611
1089,0,0,44,10,14,13.13397694
800,0,1,32,12,12,25.60000038
1230,0,0,47,5,9,13.90002537
1158,0,1,46,17,13,19.29794312
2272,0,0,37,11,18,9.200016022
528,0,2,51,12,8,37.99998856
1000,0,1,49,12,11,44
520,0,4,36,14,9,21.37202454
760,0,1,39,11,9,23.66802025
1920,0,2,48,12,14,9
1220,0,2,38,14,9,25.19995117
200,0,2,40,12,2,21.21999931
2480,1,5,39,10,12,33.96991348
2750,0,0,37,16,15,17.06999969
2014,0,1,49,13,11,6.016023636
1355,0,3,33,12,7,17.10000992
80,0,0,30,12,9,8.237000465
1670,0,0,54,12,19,13.30008221
520,0,4,39,11,11,16.00002098
288,0,3,43,12,8,12.53999043
2014,0,3,31,9,13,18.00003815
800,0,3,33,13,4,31.20000076
1984,0,3,40,12,7,20.74991035
1823,0,1,36,12,19,11.09992027
1500,0,0,51,12,14,20.68000031
2261,0,1,44,13,14,18.00000954
1728,0,3,42,16,3,32.43006516
1960,0,1,40,12,9,32.90003204
1578,1,1,34,16,7,24.1000061
1316,0,0,30,17,7,17.80039215
1530,0,0,54,12,14,20.50001717
2220,0,0,51,12,29,10.49989796
1336,0,2,44,9,19,10.43703461
1008,0,1,43,12,14,18.19499016
1944,0,1,34,12,16,12.84507656
2000,0,0,45,13,10,13.80000019
258,0,0,39,12,12,22.19999504
1785,0,0,50,12,24,6.699941158
480,0,0,52,12,6,6.250015736
772,0,2,41,12,9,15.60000801
900,0,0,59,10,14,3.300009966
1428,0,0,52,12,26,3.670977592
210,0,0,46,16,7,7.789997101
239,1,5,41,12,4,18.27198982
1878,0,2,33,11,15,10.95397949
215,0,0,45,12,23,13.49999237
2340,1,2,36,10,1,11.20001221
1960,0,1,48,12,29,20.99990845
532,0,1,47,12,9,25.69999886
394,0,0,45,12,6,8.932993889
675,0,2,37,12,11,19.15997696
1515,0,4,46,16,17,26.5899868
1030,0,3,43,17,6,22.40000534
1250,0,2,42,12,7,20.63299942
1158,1,2,34,17,2,28.20000648
112,0,0,52,12,24,28.79999924
336,0,3,37,12,4,8.999997139
1984,0,1,37,12,11,11.3999424
716,0,0,52,8,25,10.40001392
1410,1,0,30,12,11,19.08005524
1300,0,1,31,13,2,9.466039658
1640,0,1,38,12,19,6.500060081
1202,0,3,43,12,7,29.11701393
489,0,1,49,8,2,19.10301971
2076,0,0,55,12,20,16.34997177
526,0,2,38,17,10,32.02501678
1721,0,0,52,17,19,16.7000618
1327,0,0,48,12,17,4.81103754
584,0,2,32,13,12,24.62600899
1376,0,1,32,12,11,17.40001297
1040,0,2,38,12,6,13.02503967
548,0,3,46,12,10,19.0069828
15,0,3,40,12,4,14.02999973
1980,0,4,31,9,2,14.89990616
1520,0,1,43,10,13,25.00005531
1880,0,0,51,12,21,10.70006752
1260,1,0,30,16,9,24.25000381
1092,0,0,52,13,4,39.13996506
1587,1,5,30,8,2,7.199973106
156,0,0,51,16,19,31.81099892
1939,0,2,31,13,4,10.00004768
1250,0,4,34,12,9,20.65999985
610,0,0,49,11,14,13.49997616
270,1,3,35,13,6,25.37999535
660,1,0,53,12,24,18.27497673
1000,0,3,32,12,1,39.21300125
1920,0,3,38,10,13,10.4999361
200,0,0,54,12,3,34.85699844
1500,0,1,47,17,10,28.5019989
868,0,1,45,15,16,12.99995995
2318,0,1,47,16,9,41.39990997
2000,0,0,59,10,19,14.77999973
60,0,1,32,11,4,15.04999828
1715,0,1,45,12,10,29.69997787
550,0,4,40,12,5,16.16501999
1960,0,2,47,14,7,25.20515823
44,1,2,36,16,3,14.19999886
1920,0,0,56,14,38,18.15896797
2540,0,1,41,8,16,28.98106384
156,0,3,48,7,13,13.39200306
780,1,2,36,12,1,9.175020218
3120,0,0,41,12,7,27.03984833
2040,0,0,41,14,15,13.14995193
1610,0,3,36,12,10,16.40007019
215,0,3,37,12,2,21.29999161
1120,0,0,38,12,19,17.20101547
846,0,2,43,14,25,8.560026169
3225,0,0,54,16,25,6.490839958
1376,0,1,38,12,7,12.49996758
980,1,0,30,12,15,27.0000248
1838,0,0,49,12,11,53.50004959
1494,0,1,45,13,25,52.49994659
450,0,0,51,13,19,38.39997864
1976,0,0,34,10,4,13.89194489
2012,0,2,34,12,14,3.899992943
561,0,1,41,12,19,34.19999695
1715,0,1,49,12,18,19.70007896
1912,0,0,32,12,14,18.49995232
3686,0,0,32,14,11,10.99997616
1080,0,2,32,17,4,43.30001068
1799,0,0,47,10,29,18.76000786
1984,0,1,39,9,21,4.800096035
1839,0,0,49,12,24,21.50000191
1579,0,3,37,12,19,28.03993797
96,0,0,59,16,31,26.00000381
1920,0,0,50,12,28,27
1688,0,1,32,17,15,17.79968834
1589,0,0,46,12,27,17.40194511
345,0,2,43,17,13,19.30999184
1521,0,3,37,11,4,9.999979973
1490,0,2,32,16,10,11.17998028
989,0,1,39,11,8,18.85695648
600,0,2,34,13,4,12.30002022
2646,0,1,39,11,18,13.6771183
2149,0,3,45,8,3,9.559996605
320,0,0,50,11,11,24.49998474
1600,0,1,40,12,8,23.14999962
2419,0,1,30,10,10,15.59088326
2005,0,0,57,17,33,14.42092419
1960,0,1,39,12,19,17.45490837
2147,0,0,53,12,35,9.800019264
1207,0,1,48,17,21,17.5744648
2000,0,1,46,14,7,16.55500031
1260,0,0,47,12,18,13.29497433
90,0,1,43,12,4,11.84400272
1800,0,0,47,12,12,46.64506149
573,0,1,47,12,16,14.69998932
1825,0,0,47,12,14,26.09008026
75,0,0,46,12,3,9.899999619
1348,0,4,34,9,1,9.048026085
1880,0,0,48,10,27,30.75006485
1240,0,1,30,12,12,8.499939919
848,0,1,51,12,6,22.24999237
150,0,5,52,12,9,42.90999985
2000,0,2,37,12,2,33.29999924
1952,0,2,32,12,6,13.81990337
1456,0,2,36,17,9,23.60000801
1740,0,2,35,12,16,13.00006771
1400,0,0,45,17,22,20.74994087
2000,0,0,56,12,26,6.300000191
1750,0,2,40,10,11,7.788924694
1101,1,2,45,12,11,10.47004032
2000,0,2,32,12,15,12
1877,0,0,45,12,13,16.97991562
160,0,2,40,12,6,17.89999962
1886,0,1,38,12,20,15.53993702
1446,0,4,49,12,17,9.883985519
1500,0,1,47,16,8,28.59995079
860,0,0,52,13,13,17.66001129
1848,0,1,34,13,15,25.99991798
1678,0,2,44,12,14,13.60200977
160,0,3,36,16,14,15.80000019
108,0,0,50,17,6,41.09999466
1738,0,0,45,12,24,10.77504158
1170,0,2,44,14,10,9.00004673
15,0,2,57,12,2,24.39899445
2088,0,0,35,17,9,37.30009079
2490,0,0,46,12,23,27.9999485
135,2,1,30,14,12,13.70000267
1944,0,3,42,12,8,17.20994377
690,0,1,34,12,16,14.00001431
608,0,2,45,17,10,35.75502014
63,1,2,35,16,7,23.49999619
154,0,0,40,16,19,31.99993324
420,0,1,32,12,2,17.1499958
651,0,0,54,9,9,20.2500248
675,0,3,38,12,14,5.485984802
1663,0,3,43,12,9,25.07504082
1680,0,0,54,16,16,18.21995163
180,0,3,39,14,7,25.99999619
1581,0,1,37,12,6,34.50007248
1200,0,2,46,12,22,12.39999962
450,0,0,56,11,9,10.78684998
547,0,3,41,12,9,16.32300758
300,0,1,45,16,14,30.5
975,0,1,44,17,17,51.2996254
1621,0,1,50,17,12,33.04997253
300,0,5,37,14,13,34.75001144
1868,0,1,44,12,8,16.40003967
1803,0,2,32,14,10,19.70007324
2143,1,1,34,12,16,6.600002766
1080,0,2,32,10,1,9.020008087
1352,0,3,37,12,6,10.4000082
537,0,1,44,13,4,14.51998806
352,0,2,34,16,8,17.19999695
200,1,3,33,12,4,43
2045,0,3,43,7,15,13.87195969
1253,0,2,35,16,7,-0.029057452
1960,0,1,43,14,14,16.76994324
2000,0,0,34,12,16,7.799999714
1960,0,3,36,10,15,14.5000639
2000,0,2,41,12,23,7.900000095
1568,0,0,41,16,19,79.80001068
1225,0,3,35,10,4,7.175970078
780,1,3,32,12,12,17.5069828
480,0,0,30,14,12,20.60000038
1923,0,0,43,12,25,18.55991554
2000,0,0,54,6,14,9.300000191
2110,0,2,35,15,14,5.120007515
1664,0,0,50,12,11,14.50003815
48,1,1,34,17,7,19.79999924
1791,0,0,52,14,18,18.29994965
1404,0,3,35,13,4,33.99993515
1920,0,0,55,6,37,11.62793636
2141,0,0,35,16,13,11.80004597
1720,0,1,49,14,14,39.09997559
3533,2,2,38,15,17,18.43007088
2000,0,2,42,14,5,21
800,0,1,48,8,2,59
3000,0,0,51,14,0,25.29999924
293,0,2,43,12,3,23.24899101
1872,0,1,43,12,21,24.92808723
2058,0,1,38,12,20,14.78198814
1832,0,1,44,12,19,18.90002823
120,1,3,36,12,4,21
1632,0,0,38,12,19,10.00000954
778,0,0,47,8,11,29.30997467
1984,0,2,34,12,14,13.14003181
225,1,2,40,17,8,25.08999443
1960,0,1,31,12,13,14.59993172
444,0,0,46,12,24,1.20000124
384,0,3,36,14,1,32.00000381
1170,1,2,39,13,1,16.11997032
1330,0,2,36,17,3,26.50002289
1350,0,4,37,8,4,12.75005531
480,0,4,39,12,21,12.89999962
1984,1,3,36,11,10,10.69997501
1944,0,2,49,12,13,14.43403149
50,1,1,45,12,9,23.70899963
460,2,0,32,17,14,15.1000042
680,0,5,36,10,2,18.19997597
2450,0,1,40,12,21,22.64105606
2144,0,2,43,13,22,21.6400795
1760,0,1,33,12,14,23.99998474
490,0,1,30,12,7,16.00001526
0,0,1,49,12,2,21.02499962
0,2,0,30,16,5,23.60000038
0,1,0,30,12,12,22.79999924
0,0,4,41,12,1,35.90999985
0,0,1,45,12,12,21.70000076
0,0,5,43,12,4,21.82299995
0,0,1,42,13,9,31
0,0,0,60,12,9,15.30000019
0,0,0,57,12,6,12.92500019
0,0,2,38,10,5,15.82999992
0,0,0,56,12,5,30.20000076
0,0,3,32,12,8,16.60000038
0,0,1,49,7,2,11
0,0,0,55,12,6,15
0,1,1,36,9,0,20.52799988
0,0,3,44,12,3,13.1260004
0,0,1,44,10,7,15.55000019
0,1,2,35,14,3,18.01000023
0,2,3,44,14,10,18.87400055
0,0,1,45,12,3,24.79999924
0,1,0,34,12,2,17.5
0,2,0,30,17,12,16.14999962
0,0,1,39,8,15,15.18900013
0,0,2,36,12,5,6
0,0,2,38,17,4,37.25
0,0,0,53,12,10,27.76000023
0,0,2,36,12,1,9.090000153
0,1,1,32,12,8,14.5
0,0,3,51,9,20,19.70000076
0,0,0,38,11,4,16.78800011
0,2,0,33,12,7,18.52000046
0,0,0,54,12,10,20.95000076
0,0,3,38,9,3,7.573999882
0,2,2,30,11,5,10.02700043
0,2,3,34,12,10,5
0,0,1,34,9,0,7.039999962
0,0,2,50,12,3,40.79999924
0,2,0,30,17,10,16.04999924
0,0,2,38,12,2,33.09999847
0,0,0,54,14,10,33.85599899
0,1,2,30,12,4,20.5
0,0,0,55,12,0,28.60000038
0,0,1,51,10,10,18.75
0,0,1,44,12,5,20.29999924
0,0,0,53,12,0,13.42000008
0,0,2,42,10,0,18.39999962
0,0,2,38,12,19,16.68199921
0,1,3,38,13,2,32.68500137
0,1,4,41,12,12,7.050000191
0,0,3,35,8,5,10.86699963
0,1,2,33,12,5,18.21999931
0,0,0,48,13,5,26.61300087
0,0,0,47,12,10,25
0,0,5,34,12,0,15.69999981
0,2,1,33,13,4,40.25
0,3,1,31,13,3,73.59999847
0,0,0,58,8,2,10.59200001
0,0,0,49,12,1,8
0,0,1,55,8,0,13.39999962
0,0,0,44,14,1,23.70000076
0,0,0,44,9,1,18.89999962
0,0,3,36,16,6,48.29999924
0,0,3,38,12,12,24.46999931
0,0,3,37,16,6,28.62999916
0,0,0,47,12,9,25.31999969
0,0,3,47,12,14,13.52999973
0,1,1,32,12,13,14.80000019
0,1,2,43,12,8,17.39999962
0,1,4,42,11,0,15.97999954
0,0,0,56,12,1,16.57600021
0,0,5,38,13,3,21.85000038
0,0,2,52,12,13,14.60000038
0,0,0,50,12,3,21.60000038
0,0,0,33,16,8,24
0,0,2,44,16,8,20.88299942
0,0,1,41,12,18,19.5
0,0,1,45,12,2,42.79999924
0,0,0,53,14,3,41.5
0,0,0,53,14,5,18.96500015
0,0,1,42,12,2,16.10000038
0,2,0,32,13,10,14.69999981
0,0,0,56,12,30,18.79999924
0,1,3,37,11,1,14.75
0,1,2,40,12,5,21
0,0,3,54,15,8,35.40000153
0,0,0,53,7,0,10.69999981
0,0,1,48,12,4,24.5
0,1,2,36,12,2,17.04500008
0,0,0,57,12,30,18.79999924
0,0,0,51,12,25,14
0,0,4,33,13,3,18.2140007
0,0,0,52,12,20,20.17700005
0,0,0,56,10,20,8.300000191
0,1,2,36,12,0,14.19999981
0,1,0,36,14,15,21.76799965
0,0,1,46,12,10,29.5529995
0,0,3,31,10,4,4.349999905
0,0,0,52,11,3,24
0,0,2,46,12,10,18.29999924
0,2,0,35,12,9,17.20000076
0,0,0,59,12,7,16.47599983
0,0,1,36,8,12,13.39999962
0,1,3,51,7,0,44.98799896
0,1,0,31,16,16,18.20000076
0,0,2,31,14,4,28
0,1,1,32,12,7,11.55000019
0,1,2,35,16,7,28.45000076
0,0,3,40,12,14,15.09599972
0,1,2,33,10,2,8.008999825
0,0,0,54,7,20,10.03999996
0,1,1,36,12,5,16.70000076
0,0,1,50,10,10,8.399999619
0,0,0,54,8,20,13
0,0,1,48,11,10,17.96999931
0,0,4,41,15,8,18.45000076
0,0,4,50,12,11,31
0,0,2,46,12,3,24.13500023
0,0,1,42,13,6,31.70000076
0,1,2,31,9,4,10.18999958
0,0,0,53,12,4,21.5739994
0,0,1,51,12,9,26.68000031
0,0,1,47,12,10,17.70000076
0,0,1,50,12,3,29.39999962
0,0,1,37,6,2,22.1590004
0,2,2,30,12,2,35
0,0,0,49,12,0,8.630000114
0,0,2,52,12,8,17.07999992
0,0,2,47,12,6,32.5
0,0,0,49,12,15,16
0,0,4,44,12,15,18.85000038
0,0,0,53,8,9,17.5
0,1,0,30,12,8,19.3920002
0,0,2,54,12,18,14.44999981
0,1,1,47,7,3,21.79999924
0,0,0,56,15,10,7.699999809
0,0,1,49,12,6,31.79999924
0,0,0,48,6,20,17.25799942
0,0,1,49,12,8,13.39900017
0,0,1,56,12,3,16.07299995
0,0,0,46,12,4,23.26000023
0,0,2,45,12,13,37.29999924
0,0,2,32,12,4,11
0,1,1,43,12,17,13.07499981
0,1,1,34,12,4,13.69999981
0,1,1,30,12,0,25.10000038
0,2,0,38,17,15,18.60000038
0,1,1,33,16,11,29
0,0,0,52,12,23,19.23699951
0,0,3,43,11,1,19.85499954
0,1,1,33,12,5,9.449999809
0,0,0,45,10,1,30
0,2,1,36,10,5,15
0,1,1,34,12,3,24.70100021
0,0,2,37,14,3,15.89999962
0,0,1,46,10,19,16.23999977
0,0,0,47,12,20,21.10000038
0,2,1,31,16,5,23
0,0,0,57,5,0,6.340000153
0,1,1,30,12,3,42.25
0,0,0,30,12,3,14.69400024
0,0,3,44,12,7,21.41699982
0,0,0,53,13,7,20.20000076
0,0,0,51,8,1,12.09000015
0,1,3,39,12,13,24.76000023
0,0,0,52,8,0,23
0,0,4,46,8,0,19.36499977
0,0,5,47,12,12,5.550000191
0,0,2,52,8,0,68.03500366
0,0,2,45,12,5,29.29999924
0,0,0,60,11,45,18.5
0,0,2,41,13,10,22.58200073
0,0,3,39,8,2,21.5
0,0,1,49,12,3,28.06999969
0,1,1,32,15,1,50.29999924
0,1,3,33,12,5,23.5
0,0,4,36,10,10,15.5
0,3,3,37,13,4,13.43999958
0,1,2,30,12,7,8.100000381
0,1,1,44,11,9,9.800000191
0,0,1,48,12,5,20.29999924
0,0,4,40,11,4,15
0,0,0,47,13,11,56.09999847
0,0,2,36,12,9,22.84600067
0,0,2,40,11,4,22.22500038
0,0,1,46,12,2,17.63500023
0,0,0,52,12,23,18.5
0,0,1,44,12,3,13.39000034
0,0,1,45,10,15,15.14999962
0,2,1,30,7,8,16.20000076
0,1,3,40,12,3,33.91999817
0,0,1,43,12,25,14
0,0,2,49,12,2,16.73600006
0,1,4,46,12,0,30.64999962
0,0,0,52,11,19,12.39999962
0,1,1,31,12,3,19.02199936
0,1,1,42,10,7,11.20300007
0,0,3,33,11,1,19.87599945
0,0,0,57,16,9,57
0,0,0,49,10,3,18.29000092
0,0,1,45,14,8,20.21999931
0,0,0,56,11,0,22.14999962
0,1,3,41,12,5,30.62299919
0,0,0,56,5,20,9.380000114
0,0,1,48,10,3,22
0,0,2,52,16,12,23.67499924
0,0,0,51,12,5,33.67100143
0,0,3,35,11,1,12.36699963
0,0,0,45,12,0,21.95000076
0,0,0,54,12,7,32
0,0,2,54,12,13,22.61000061
0,1,0,31,12,3,12.09200001
0,0,3,53,6,0,3.77699995
0,2,2,35,14,2,36
0,1,3,36,12,0,26.89999962
0,0,0,59,12,2,32.24200058
0,0,0,54,16,1,35.02000046
0,1,1,37,12,10,37.59999847
0,0,0,44,12,10,1.5
0,1,2,34,17,1,96
0,0,0,49,12,3,18.14999962
0,0,0,49,12,32,15.5
0,0,0,60,9,0,14
0,0,0,51,12,7,14.75599957
0,1,1,30,12,5,22
0,0,2,47,12,2,24.4659996
0,0,4,36,12,5,24.39999962
0,1,3,35,12,3,24
0,0,0,58,12,25,15.5
0,1,3,41,14,0,30.79999924
0,0,1,51,10,3,10.65999985
0,0,0,47,12,10,13.35000038
0,1,2,45,9,10,10.09000015
0,0,0,60,14,7,55.59999847
0,1,1,30,16,5,25.70000076
0,0,0,55,11,15,29
0,1,2,32,12,1,7.285999775
0,0,2,36,12,5,37.7519989
0,0,0,55,12,9,13.07199955
0,0,0,47,12,18,7.044000149
0,0,1,47,12,1,18.20000076
0,0,1,37,11,0,27
0,0,2,50,12,6,30.29999924
0,0,3,30,12,1,12
0,0,1,48,17,2,31.5
0,0,2,43,10,15,27.09199905
0,1,0,48,11,25,20.96800041
0,1,2,41,14,1,27
0,0,0,50,12,0,11.22500038
0,0,0,58,8,0,37.70000076
0,0,5,38,13,0,28.20000076
0,0,1,37,12,8,34
0,0,0,50,16,22,63.20000076
0,0,4,42,8,5,7.5
0,1,3,37,9,10,17.40999985
0,0,2,41,16,1,51
0,0,2,31,12,1,12.91600037
0,0,0,51,12,6,21.89999962
0,1,2,36,12,4,17.63999939
0,0,0,54,15,6,20
0,0,0,49,12,0,15
0,1,1,48,9,1,14.06000042
0,0,2,42,9,3,15.82499981
0,1,2,41,12,15,16.51000023
0,0,0,55,16,33,13
0,0,0,42,9,2,10
0,0,1,32,15,1,22
0,0,2,43,12,10,29.79999924
0,1,3,33,12,0,15
0,0,1,48,15,14,22.29999924
0,0,2,43,12,15,14.55000019
0,1,3,47,17,15,19.72999954
0,0,0,54,12,10,35
0,0,1,51,12,6,21.01399994
0,0,1,51,10,18,10.8760004
0,1,1,43,13,15,27.85000038
0,0,0,53,12,30,9.56000042
0,1,1,34,11,15,30.29999924
0,1,1,31,8,10,7.71999979
0,0,0,56,12,0,10.55000019
0,0,1,42,16,0,24.1060009
0,0,2,32,12,4,22.99500084
0,1,3,35,12,0,6
0,1,1,30,12,3,24.35000038
0,0,0,51,10,20,7.607999802
0,0,3,47,12,3,28.20000076
0,0,1,54,12,1,16.14999962
0,3,0,31,15,5,51.20000076
0,0,0,47,10,7,12.64599991
0,0,3,47,14,6,19
0,0,3,40,12,2,19
0,0,0,48,8,0,14.39999962
0,0,7,34,8,10,7.231999874
0,0,3,38,12,6,21.94300079
0,1,3,32,12,4,47.5
0,0,1,48,16,8,28.89999962
0,0,2,41,12,18,12.39999962
0,0,2,49,5,7,6.531000137
0,0,0,59,8,15,22.42200089
0,0,0,58,13,7,22.20000076
0,0,3,41,12,8,77
0,0,2,45,12,8,88
0,1,1,30,14,3,26.04000092
0,0,1,41,12,10,63.5
0,2,0,30,12,9,12.10000038
0,0,1,53,12,24,17.50499916
0,0,0,31,12,12,18
0,0,2,43,14,2,28.06900024
0,1,1,31,12,6,14
0,0,0,51,12,18,8.116999626
0,0,0,43,9,17,11.89500046
0,1,2,31,14,7,45.25
0,0,0,48,11,6,31.1060009
0,1,1,31,12,10,4
0,0,1,44,12,5,40.5
0,0,1,48,11,7,21.62000084
0,0,1,53,12,11,23.4260006
0,0,3,42,10,14,26
0,2,6,39,12,5,7.840000153
0,1,2,32,10,2,6.800000191
0,0,2,36,12,4,5.329999924
0,0,2,40,13,5,28.20000076
0,2,3,31,12,14,10
0,0,0,43,12,4,9.951999664
0,0,0,60,12,15,24.98399925
0,0,3,39,9,12,28.36300087
